object_id,record_family_id,x,y,z,observer_count,support_size,h3_compactness,h3_compactness_normalized
observer_mixture_cluster_000017_component_000,,-0.09887190002138463,0.09113909534337133,0.4889445752090371,850.0,0.0,1.694422917380063,0.6384819532686209
observer_mixture_cluster_000017_component_001,,2.9609864468438984,-1.854596982512402,0.4744235957743584,12.0,0.0,0.4411581414746872,0.16623447958590926
observer_mixture_cluster_000017_component_002,,2.1452767750737185,0.43237779392565046,2.4509166506472333,8.0,0.0,0.0,0.0
observer_mixture_cluster_000020_component_000,,-0.5189119523941109,0.4065708054486336,0.4701322676770974,821.0,0.0,1.591286439516647,0.5996187042154867
observer_mixture_cluster_000020_component_001,,2.293140937282214,-2.3530585521114658,0.9673576360051396,8.0,0.0,0.44937475613064093,0.16933061345011632
observer_mixture_cluster_000022_component_000,,0.2724485266204622,-2.589476133662931,1.193485617870526,254.0,0.0,1.015845035460566,0.3827844369940208
observer_mixture_cluster_000022_component_001,,1.557781572029294,3.067816473770041,0.4036822165053035,190.0,0.0,0.591959935418979,0.2230586779406148
observer_mixture_cluster_000022_component_002,,-0.744187583343904,1.4769573284899902,1.9050944322231258,172.0,0.0,0.934728139380239,0.35221847042143944
observer_mixture_cluster_000022_component_003,,0.016638141494626158,-0.17837903849522288,-1.1919573135136714,128.0,0.0,0.893271396105624,0.33659699708640023
observer_mixture_cluster_000026_component_000,,0.03884477253083072,-1.4022081269480162,-0.4830438568764237,177.0,0.0,1.3705115927427658,0.5164276933085264
observer_mixture_cluster_000026_component_001,,-0.797244770666905,2.106520232816776,1.3634524778715607,50.0,0.0,0.6655919028534537,0.2508042200413239
observer_mixture_cluster_000026_component_002,,1.1347036387112763,3.35880317871368,0.16560930347248543,10.0,0.0,0.4121910823546345,0.15531929170824765
observer_mixture_cluster_000026_component_003,,-1.238030898507073,0.8366889175380481,2.34087226505061,8.0,0.0,0.286328612584523,0.1078925750852876
observer_mixture_cluster_000026_component_004,,2.3597592738787134,2.6608705343101318,0.2947568956961272,7.0,0.0,0.1868024839940642,0.07038975549290678
observer_mixture_cluster_000031_component_000,,-0.48772368648254605,-1.6022744078855633,2.058520606514347,90.0,0.0,0.9917536319579068,0.37370646348009784
observer_mixture_cluster_000031_component_001,,-0.9523088648705957,1.702117466859429,1.7730893802187613,65.0,0.0,0.7277353853280644,0.2742207423666083
observer_mixture_cluster_000031_component_002,,1.7266344115745607,2.9878463931200043,0.4489316161934914,60.0,0.0,0.5180506674194154,0.19520864515778355
observer_mixture_cluster_000031_component_003,,-0.27832693769665107,-0.6515845225439534,-1.501349910675127,9.0,0.0,0.3715455872877202,0.14000350790025956
observer_mixture_cluster_000031_component_004,,-1.5850775867442908,-1.5265445102451598,1.4705841443530043,8.0,0.0,0.21279976654521518,0.08018589055026328
observer_mixture_cluster_000031_component_005,,0.3474841216125123,0.5437133000516672,-1.2658359275865794,7.0,0.0,0.3259835534134462,0.12283510437800452
