worldline_id,event_index,cycle,x,y,z,fit_residual,support_node_count,particle_like
worldline_000006,4,16.0,-0.6334635512977981,-1.2822686858534493,-2.932269682320247,0.5900286933189315,8,False
worldline_000006,5,20.0,-0.6334635512977981,-1.2822686858534493,-2.932269682320247,0.5900286933189315,8,False
worldline_000006,6,24.0,-0.6334635512977981,-1.2822686858534493,-2.932269682320247,0.5900286933189315,8,False
worldline_000006,7,28.0,-0.6334635512977981,-1.2822686858534493,-2.932269682320247,0.5900286933189315,8,False
worldline_000006,8,32.0,-0.6334635512977981,-1.2822686858534493,-2.932269682320247,0.5900286933189315,8,False
worldline_000006,9,36.0,-0.6334635512977981,-1.2822686858534493,-2.932269682320247,0.5900286933189315,8,False
worldline_000006,10,40.0,-0.6334635512977981,-1.2822686858534493,-2.932269682320247,0.5900286933189315,8,False
worldline_000006,11,45.0,-0.6334635512977981,-1.2822686858534493,-2.932269682320247,0.5900286933189315,8,False
worldline_000006,12,49.0,-0.6334635512977981,-1.2822686858534493,-2.932269682320247,0.5900286933189315,8,False
worldline_000006,13,53.0,-0.6334635512977981,-1.2822686858534493,-2.932269682320247,0.5900286933189315,8,False
worldline_000006,14,57.0,-0.6334635512977981,-1.2822686858534493,-2.932269682320247,0.5900286933189315,8,False
worldline_000006,15,61.0,-0.6334635512977981,-1.2822686858534493,-2.932269682320247,0.5900286933189315,8,False
worldline_000006,16,65.0,-0.6334635512977981,-1.2822686858534493,-2.932269682320247,0.5900286933189315,8,False
worldline_000006,17,69.0,-0.6334635512977981,-1.2822686858534493,-2.932269682320247,0.5900286933189315,8,False
worldline_000006,18,73.0,-0.6334635512977981,-1.2822686858534493,-2.932269682320247,0.5900286933189315,8,False
worldline_000006,19,77.0,-0.6334635512977981,-1.2822686858534493,-2.932269682320247,0.5900286933189315,8,False
worldline_000006,20,81.0,-0.6334635512977981,-1.2822686858534493,-2.932269682320247,0.5900286933189315,8,False
worldline_000006,21,86.0,-0.6334635512977981,-1.2822686858534493,-2.932269682320247,0.5900286933189315,8,False
worldline_000006,22,90.0,-0.6334635512977981,-1.2822686858534493,-2.932269682320247,0.5900286933189315,8,False
worldline_000006,23,94.0,-0.6334635512977981,-1.2822686858534493,-2.932269682320247,0.5900286933189315,8,False
worldline_000006,24,98.0,-0.6334635512977981,-1.2822686858534493,-2.932269682320247,0.5900286933189315,8,False
worldline_000006,25,102.0,-0.6334635512977981,-1.2822686858534493,-2.932269682320247,0.5900286933189315,8,False
worldline_000006,26,106.0,-0.6334635512977981,-1.2822686858534493,-2.932269682320247,0.5900286933189315,8,False
worldline_000006,27,110.0,-0.6334635512977981,-1.2822686858534493,-2.932269682320247,0.5900286933189315,8,False
worldline_000006,28,114.0,-0.6334635512977981,-1.2822686858534493,-2.932269682320247,0.5900286933189315,8,False
worldline_000006,29,118.0,-0.6334635512977981,-1.2822686858534493,-2.932269682320247,0.5900286933189315,8,False
worldline_000006,30,122.0,-0.6334635512977981,-1.2822686858534493,-2.932269682320247,0.5900286933189315,8,False
worldline_000006,31,127.0,-0.6334635512977981,-1.2822686858534493,-2.932269682320247,0.5900286933189315,8,False
worldline_000007,0,0.0,-0.5514874139401904,-1.0732528852378012,-2.929197616717166,0.588348651685781,7,False
worldline_000007,1,4.0,-0.5514874139401904,-1.0732528852378012,-2.929197616717166,0.588348651685781,7,False
worldline_000007,2,8.0,-0.5514874139401904,-1.0732528852378012,-2.929197616717166,0.588348651685781,7,False
worldline_000007,3,12.0,-0.5514874139401904,-1.0732528852378012,-2.929197616717166,0.588348651685781,7,False
worldline_000007,4,16.0,-0.5514874139401904,-1.0732528852378012,-2.929197616717166,0.588348651685781,7,False
worldline_000007,5,20.0,-0.5514874139401904,-1.0732528852378012,-2.929197616717166,0.588348651685781,7,False
worldline_000007,6,24.0,-0.5514874139401904,-1.0732528852378012,-2.929197616717166,0.588348651685781,7,False
worldline_000007,7,28.0,-0.5514874139401904,-1.0732528852378012,-2.929197616717166,0.588348651685781,7,False
worldline_000007,8,32.0,-0.5514874139401904,-1.0732528852378012,-2.929197616717166,0.588348651685781,7,False
worldline_000007,9,36.0,-0.5514874139401904,-1.0732528852378012,-2.929197616717166,0.588348651685781,7,False
worldline_000007,10,40.0,-0.5514874139401904,-1.0732528852378012,-2.929197616717166,0.588348651685781,7,False
worldline_000007,11,45.0,-0.5514874139401904,-1.0732528852378012,-2.929197616717166,0.588348651685781,7,False
worldline_000007,12,49.0,-0.5514874139401904,-1.0732528852378012,-2.929197616717166,0.588348651685781,7,False
worldline_000007,13,53.0,-0.5514874139401904,-1.0732528852378012,-2.929197616717166,0.588348651685781,7,False
worldline_000007,14,57.0,-0.5514874139401904,-1.0732528852378012,-2.929197616717166,0.588348651685781,7,False
worldline_000007,15,61.0,-0.5514874139401904,-1.0732528852378012,-2.929197616717166,0.588348651685781,7,False
worldline_000007,16,65.0,-0.5514874139401904,-1.0732528852378012,-2.929197616717166,0.588348651685781,7,False
worldline_000007,17,69.0,-0.5514874139401904,-1.0732528852378012,-2.929197616717166,0.588348651685781,7,False
worldline_000007,18,73.0,-0.5514874139401904,-1.0732528852378012,-2.929197616717166,0.588348651685781,7,False
worldline_000007,19,77.0,-0.5514874139401904,-1.0732528852378012,-2.929197616717166,0.588348651685781,7,False
worldline_000007,20,81.0,-0.5514874139401904,-1.0732528852378012,-2.929197616717166,0.588348651685781,7,False
worldline_000007,21,86.0,-0.5514874139401904,-1.0732528852378012,-2.929197616717166,0.588348651685781,7,False
worldline_000007,22,90.0,-0.5514874139401904,-1.0732528852378012,-2.929197616717166,0.588348651685781,7,False
worldline_000007,23,94.0,-0.5514874139401904,-1.0732528852378012,-2.929197616717166,0.588348651685781,7,False
