cycle,h3_separation,left_h3_spatial_point,local_readout_contraction,mode,right_h3_spatial_point,step,stress_kernel,tangent_separation
18,0.35214196294998534,"[-0.17607098147499248, 0.0, 0.0]",0.9644129368313568,stress_contraction,"[0.17607098147499248, 0.0, 0.0]",18,0.8896765792160823,0.35214196294998495
19,0.2809678366126982,"[-0.14048391830634918, 0.0, 0.0]",0.9629266765967401,stress_contraction,"[0.14048391830634918, 0.0, 0.0]",19,0.926833085081498,0.28096783661269836
20,0.2068211898061794,"[-0.10341059490308926, 0.0, 0.0]",0.9616408143411986,stress_contraction,"[0.10341059490308926, 0.0, 0.0]",20,0.9589796414700349,0.20682118980617853
21,0.1301028184885746,"[-0.06505140924428787, 0.0, 0.0]",0.9606657999109133,stress_contraction,"[0.06505140924428787, 0.0, 0.0]",21,0.9833550022271682,0.13010281848857574
22,0.06505140924429044,"[-0.032525704622143936, 0.0, 0.0]",0.9601685541655105,stress_contraction,"[0.032525704622143936, 0.0, 0.0]",22,0.995786145862238,0.06505140924428787
23,0.03252570462214563,"[-0.016262852311071968, 0.0, 0.0]",0.9600422721378449,stress_contraction,"[0.016262852311071968, 0.0, 0.0]",23,0.9989431965538789,0.032525704622143936
24,0.016262852311059853,"[-0.008131426155535984, 0.0, 0.0]",0.960010576417357,stress_contraction,"[0.008131426155535984, 0.0, 0.0]",24,0.9997355895660768,0.016262852311071968
25,0.008131426155527232,"[-0.004065713077767992, 0.0, 0.0]",0.9600026446287898,stress_contraction,"[0.004065713077767992, 0.0, 0.0]",25,0.9999338842802546,0.008131426155535984
26,0.0040657130777527264,"[-0.002032856538883996, 0.0, 0.0]",0.9600006611899837,stress_contraction,"[0.002032856538883996, 0.0, 0.0]",26,0.9999834702504066,0.004065713077767992
27,0.0020328565389684068,"[-0.001016428269441998, 0.0, 0.0]",0.9600001652995452,stress_contraction,"[0.001016428269441998, 0.0, 0.0]",27,0.9999958675113695,0.002032856538883996
28,0.0010164282692362247,"[-0.000508214134720999, 0.0, 0.0]",0.9600000413250144,stress_contraction,"[0.000508214134720999, 0.0, 0.0]",28,0.999998966874641,0.001016428269441998
29,0.000508214134532499,"[-0.0002541070673604995, 0.0, 0.0]",0.9600000103312616,stress_contraction,"[0.0002541070673604995, 0.0, 0.0]",29,0.9999997417184602,0.000508214134720999
30,0.0002541070680064894,"[-0.00012705353368024975, 0.0, 0.0]",0.9600000025828159,stress_contraction,"[0.00012705353368024975, 0.0, 0.0]",30,0.9999999354296023,0.0002541070673604995
31,0.0001270535325119705,"[-6.352676684012488e-05, 0.0, 0.0]",0.960000000645704,stress_contraction,"[6.352676684012488e-05, 0.0, 0.0]",31,0.9999999838574001,0.00012705353368024975
32,6.35267662880317e-05,"[-3.176338342006244e-05, 0.0, 0.0]",0.960000000161426,stress_contraction,"[3.176338342006244e-05, 0.0, 0.0]",32,0.99999999596435,6.352676684012488e-05
33,3.1763383148021666e-05,"[-1.588169171003122e-05, 0.0, 0.0]",0.9600000000403565,stress_contraction,"[1.588169171003122e-05, 0.0, 0.0]",33,0.9999999989910875,3.176338342006244e-05
34,1.5881702060384423e-05,"[-7.94084585501561e-06, 0.0, 0.0]",0.9600000000100891,stress_contraction,"[7.94084585501561e-06, 0.0, 0.0]",34,0.9999999997477715,1.588169171003122e-05
35,7.940851030254802e-06,"[-3.970422927507805e-06, 0.0, 0.0]",0.9600000000025223,stress_contraction,"[3.970422927507805e-06, 0.0, 0.0]",35,0.9999999999369429,7.94084585501561e-06
36,3.9703695901045494e-06,"[-1.9852114637539023e-06, 0.0, 0.0]",0.9600000000006306,stress_contraction,"[1.9852114637539023e-06, 0.0, 0.0]",36,0.9999999999842362,3.970422927507805e-06
37,1.9852686814177097e-06,"[-9.926057318769512e-07, 0.0, 0.0]",0.9600000000001576,stress_contraction,"[9.926057318769512e-07, 0.0, 0.0]",37,0.9999999999960587,1.9852114637539023e-06
38,9.926902621952166e-07,"[-4.963028659384756e-07, 0.0, 0.0]",0.9600000000000394,stress_contraction,"[4.963028659384756e-07, 0.0, 0.0]",38,0.9999999999990146,9.926057318769512e-07
39,4.964569583224508e-07,"[-2.481514329692378e-07, 0.0, 0.0]",0.9600000000000098,stress_contraction,"[2.481514329692378e-07, 0.0, 0.0]",39,0.9999999999997535,4.963028659384756e-07
40,2.48452007778481e-07,"[-1.240757164846189e-07, 0.0, 0.0]",0.9600000000000025,stress_contraction,"[1.240757164846189e-07, 0.0, 0.0]",40,0.9999999999999383,2.481514329692378e-07
41,1.246720591983311e-07,"[-6.203785824230945e-08, 0.0, 0.0]",0.9600000000000006,stress_contraction,"[6.203785824230945e-08, 0.0, 0.0]",41,0.9999999999999845,1.240757164846189e-07
42,5.960464477539062e-08,"[-3.1018929121154724e-08, 0.0, 0.0]",0.9600000000000002,stress_contraction,"[3.1018929121154724e-08, 0.0, 0.0]",42,0.9999999999999964,6.203785824230945e-08
43,3.650024149988857e-08,"[-1.5509464560577362e-08, 0.0, 0.0]",0.9600000000000001,stress_contraction,"[1.5509464560577362e-08, 0.0, 0.0]",43,0.9999999999999987,3.1018929121154724e-08
44,0.0,"[-7.754732280288681e-09, 0.0, 0.0]",0.96,stress_contraction,"[7.754732280288681e-09, 0.0, 0.0]",44,1.0,1.5509464560577362e-08
45,0.0,"[-3.8773661401443405e-09, 0.0, 0.0]",0.96,stress_contraction,"[3.8773661401443405e-09, 0.0, 0.0]",45,1.0,7.754732280288681e-09
46,0.0,"[-1.9386830700721703e-09, 0.0, 0.0]",0.96,stress_contraction,"[1.9386830700721703e-09, 0.0, 0.0]",46,1.0,3.8773661401443405e-09
47,0.0,"[-9.693415350360851e-10, 0.0, 0.0]",0.96,stress_contraction,"[9.693415350360851e-10, 0.0, 0.0]",47,1.0,1.9386830700721703e-09
48,0.0,"[-4.846707675180426e-10, 0.0, 0.0]",0.96,stress_contraction,"[4.846707675180426e-10, 0.0, 0.0]",48,1.0,9.693415350360851e-10
49,0.0,"[-2.423353837590213e-10, 0.0, 0.0]",0.96,stress_contraction,"[2.423353837590213e-10, 0.0, 0.0]",49,1.0,4.846707675180426e-10
50,0.0,"[-1.2116769187951064e-10, 0.0, 0.0]",0.96,stress_contraction,"[1.2116769187951064e-10, 0.0, 0.0]",50,1.0,2.423353837590213e-10
51,0.0,"[-6.058384593975532e-11, 0.0, 0.0]",0.96,stress_contraction,"[6.058384593975532e-11, 0.0, 0.0]",51,1.0,1.2116769187951064e-10
52,0.0,"[-3.029192296987766e-11, 0.0, 0.0]",0.96,stress_contraction,"[3.029192296987766e-11, 0.0, 0.0]",52,1.0,6.058384593975532e-11
53,0.0,"[-1.514596148493883e-11, 0.0, 0.0]",0.96,stress_contraction,"[1.514596148493883e-11, 0.0, 0.0]",53,1.0,3.029192296987766e-11
54,0.0,"[-7.572980742469415e-12, 0.0, 0.0]",0.96,stress_contraction,"[7.572980742469415e-12, 0.0, 0.0]",54,1.0,1.514596148493883e-11
55,0.0,"[-3.7864903712347075e-12, 0.0, 0.0]",0.96,stress_contraction,"[3.7864903712347075e-12, 0.0, 0.0]",55,1.0,7.572980742469415e-12
56,0.0,"[-1.8932451856173538e-12, 0.0, 0.0]",0.96,stress_contraction,"[1.8932451856173538e-12, 0.0, 0.0]",56,1.0,3.7864903712347075e-12
57,0.0,"[-9.466225928086769e-13, 0.0, 0.0]",0.96,stress_contraction,"[9.466225928086769e-13, 0.0, 0.0]",57,1.0,1.8932451856173538e-12
58,0.0,"[-4.733112964043384e-13, 0.0, 0.0]",0.96,stress_contraction,"[4.733112964043384e-13, 0.0, 0.0]",58,1.0,9.466225928086769e-13
59,0.0,"[-2.366556482021692e-13, 0.0, 0.0]",0.96,stress_contraction,"[2.366556482021692e-13, 0.0, 0.0]",59,1.0,4.733112964043384e-13
60,0.0,"[-1.183278241010846e-13, 0.0, 0.0]",0.96,stress_contraction,"[1.183278241010846e-13, 0.0, 0.0]",60,1.0,2.366556482021692e-13
61,0.0,"[-5.91639120505423e-14, 0.0, 0.0]",0.96,stress_contraction,"[5.91639120505423e-14, 0.0, 0.0]",61,1.0,1.183278241010846e-13
62,0.0,"[-2.958195602527115e-14, 0.0, 0.0]",0.96,stress_contraction,"[2.958195602527115e-14, 0.0, 0.0]",62,1.0,5.91639120505423e-14
63,0.0,"[-1.4790978012635576e-14, 0.0, 0.0]",0.96,stress_contraction,"[1.4790978012635576e-14, 0.0, 0.0]",63,1.0,2.958195602527115e-14
64,0.0,"[-7.395489006317788e-15, 0.0, 0.0]",0.96,stress_contraction,"[7.395489006317788e-15, 0.0, 0.0]",64,1.0,1.4790978012635576e-14
65,0.0,"[-3.697744503158894e-15, 0.0, 0.0]",0.96,stress_contraction,"[3.697744503158894e-15, 0.0, 0.0]",65,1.0,7.395489006317788e-15
66,0.0,"[-1.848872251579447e-15, 0.0, 0.0]",0.96,stress_contraction,"[1.848872251579447e-15, 0.0, 0.0]",66,1.0,3.697744503158894e-15
67,0.0,"[-9.244361257897235e-16, 0.0, 0.0]",0.96,stress_contraction,"[9.244361257897235e-16, 0.0, 0.0]",67,1.0,1.848872251579447e-15
68,0.0,"[-4.622180628948618e-16, 0.0, 0.0]",0.96,stress_contraction,"[4.622180628948618e-16, 0.0, 0.0]",68,1.0,9.244361257897235e-16
69,0.0,"[-2.311090314474309e-16, 0.0, 0.0]",0.96,stress_contraction,"[2.311090314474309e-16, 0.0, 0.0]",69,1.0,4.622180628948618e-16
70,0.0,"[-1.1555451572371544e-16, 0.0, 0.0]",0.96,stress_contraction,"[1.1555451572371544e-16, 0.0, 0.0]",70,1.0,2.311090314474309e-16
71,0.0,"[-5.777725786185772e-17, 0.0, 0.0]",0.96,stress_contraction,"[5.777725786185772e-17, 0.0, 0.0]",71,1.0,1.1555451572371544e-16
72,0.0,"[-2.888862893092886e-17, 0.0, 0.0]",0.96,stress_contraction,"[2.888862893092886e-17, 0.0, 0.0]",72,1.0,5.777725786185772e-17
73,0.0,"[-1.444431446546443e-17, 0.0, 0.0]",0.96,stress_contraction,"[1.444431446546443e-17, 0.0, 0.0]",73,1.0,2.888862893092886e-17
74,0.0,"[-7.222157232732215e-18, 0.0, 0.0]",0.96,stress_contraction,"[7.222157232732215e-18, 0.0, 0.0]",74,1.0,1.444431446546443e-17
75,0.0,"[-3.6110786163661075e-18, 0.0, 0.0]",0.96,stress_contraction,"[3.6110786163661075e-18, 0.0, 0.0]",75,1.0,7.222157232732215e-18
76,0.0,"[-1.8055393081830538e-18, 0.0, 0.0]",0.96,stress_contraction,"[1.8055393081830538e-18, 0.0, 0.0]",76,1.0,3.6110786163661075e-18
77,0.0,"[-9.027696540915269e-19, 0.0, 0.0]",0.96,stress_contraction,"[9.027696540915269e-19, 0.0, 0.0]",77,1.0,1.8055393081830538e-18
78,0.0,"[-4.513848270457634e-19, 0.0, 0.0]",0.96,stress_contraction,"[4.513848270457634e-19, 0.0, 0.0]",78,1.0,9.027696540915269e-19
79,0.0,"[-2.256924135228817e-19, 0.0, 0.0]",0.96,stress_contraction,"[2.256924135228817e-19, 0.0, 0.0]",79,1.0,4.513848270457634e-19
80,0.0,"[-1.1284620676144086e-19, 0.0, 0.0]",0.96,stress_contraction,"[1.1284620676144086e-19, 0.0, 0.0]",80,1.0,2.256924135228817e-19
81,0.0,"[-5.642310338072043e-20, 0.0, 0.0]",0.96,stress_contraction,"[5.642310338072043e-20, 0.0, 0.0]",81,1.0,1.1284620676144086e-19
82,0.0,"[-2.8211551690360215e-20, 0.0, 0.0]",0.96,stress_contraction,"[2.8211551690360215e-20, 0.0, 0.0]",82,1.0,5.642310338072043e-20
83,0.0,"[-1.4105775845180107e-20, 0.0, 0.0]",0.96,stress_contraction,"[1.4105775845180107e-20, 0.0, 0.0]",83,1.0,2.8211551690360215e-20
84,0.0,"[-7.052887922590054e-21, 0.0, 0.0]",0.96,stress_contraction,"[7.052887922590054e-21, 0.0, 0.0]",84,1.0,1.4105775845180107e-20
85,0.0,"[-3.526443961295027e-21, 0.0, 0.0]",0.96,stress_contraction,"[3.526443961295027e-21, 0.0, 0.0]",85,1.0,7.052887922590054e-21
86,0.0,"[-1.7632219806475134e-21, 0.0, 0.0]",0.96,stress_contraction,"[1.7632219806475134e-21, 0.0, 0.0]",86,1.0,3.526443961295027e-21
87,0.0,"[-8.816109903237567e-22, 0.0, 0.0]",0.96,stress_contraction,"[8.816109903237567e-22, 0.0, 0.0]",87,1.0,1.7632219806475134e-21
88,0.0,"[-4.408054951618784e-22, 0.0, 0.0]",0.96,stress_contraction,"[4.408054951618784e-22, 0.0, 0.0]",88,1.0,8.816109903237567e-22
89,0.0,"[-2.204027475809392e-22, 0.0, 0.0]",0.96,stress_contraction,"[2.204027475809392e-22, 0.0, 0.0]",89,1.0,4.408054951618784e-22
90,0.0,"[-1.102013737904696e-22, 0.0, 0.0]",0.96,stress_contraction,"[1.102013737904696e-22, 0.0, 0.0]",90,1.0,2.204027475809392e-22
91,0.0,"[-5.51006868952348e-23, 0.0, 0.0]",0.96,stress_contraction,"[5.51006868952348e-23, 0.0, 0.0]",91,1.0,1.102013737904696e-22
92,0.0,"[-2.75503434476174e-23, 0.0, 0.0]",0.96,stress_contraction,"[2.75503434476174e-23, 0.0, 0.0]",92,1.0,5.51006868952348e-23
93,0.0,"[-1.37751717238087e-23, 0.0, 0.0]",0.96,stress_contraction,"[1.37751717238087e-23, 0.0, 0.0]",93,1.0,2.75503434476174e-23
94,0.0,"[-6.88758586190435e-24, 0.0, 0.0]",0.96,stress_contraction,"[6.88758586190435e-24, 0.0, 0.0]",94,1.0,1.37751717238087e-23
95,0.0,"[-3.443792930952175e-24, 0.0, 0.0]",0.96,stress_contraction,"[3.443792930952175e-24, 0.0, 0.0]",95,1.0,6.88758586190435e-24
