cycle,phase,beta,phi_before,phi,delta_phi,mismatch_edges,active_edges_before_repair,repair_budget,chosen_edges,sector_edges_changed,mismatch_definition,committed_records,committed_fraction,record_entropy,modular_depth_mean,modular_depth_std,observer_readback_drive_edges
40,exploration,0.3014155648146184,442095,433694,-8401,433694,442095,8401,8401,676,left_equals_g_ij_times_right_v1,0,0.0,0.0,0.4920450118162002,0.2690218840190941,2351
41,exploration,0.31526123090673047,434108,426099,-8009,426099,434108,8009,8009,619,left_equals_g_ij_times_right_v1,0,0.0,0.0,0.4918678678157024,0.26865252034882064,2351
42,exploration,0.3297429041992411,426523,418864,-7659,418864,426523,7659,7659,648,left_equals_g_ij_times_right_v1,0,0.0,0.0,0.4916907874959568,0.2682898671170873,2351
43,exploration,0.3448897999827882,419354,411923,-7431,411923,419354,7431,7431,568,left_equals_g_ij_times_right_v1,0,0.0,0.0,0.4915137708409374,0.26793259645252565,2351
44,exploration,0.3607324755661607,412382,405005,-7377,405005,412382,7377,7377,575,left_equals_g_ij_times_right_v1,0,0.0,0.0,0.49133681781652433,0.2675798156323578,2351
45,exploration,0.3773028919225353,405451,397941,-7510,397941,405451,7510,7510,610,left_equals_g_ij_times_right_v1,0,0.0,0.0,0.4911599284115715,0.26723392780627686,2351
46,exploration,0.39463447816746156,398420,390621,-7799,390621,398420,7799,7799,637,left_equals_g_ij_times_right_v1,0,0.0,0.0,0.490983102590811,0.2668929552419406,2351
47,exploration,0.4127621989986738,391187,383009,-8178,383009,391187,8178,8178,658,left_equals_g_ij_times_right_v1,0,0.0,0.0,0.4908063403392777,0.26655545573742817,2351
48,exploration,0.4317226252337836,383509,374948,-8561,374948,383509,8561,8561,701,left_equals_g_ij_times_right_v1,2,1.52587890625e-05,0.6931471805599453,0.49062964166121836,0.2662223953953109,2351
49,exploration,0.4515540075881534,375508,366650,-8858,366650,375508,8858,8858,683,left_equals_g_ij_times_right_v1,2,1.52587890625e-05,0.6931471805599453,0.4904530065232928,0.2658917580138868,2351
50,exploration,0.47229635384179125,367215,358212,-9003,358212,367215,9003,9003,763,left_equals_g_ij_times_right_v1,2,1.52587890625e-05,0.6931471805599453,0.4902764349058869,0.2655642047765558,2351
51,exploration,0.49399150955094423,358784,349821,-8963,349821,358784,8963,8963,684,left_equals_g_ij_times_right_v1,2,1.52587890625e-05,0.6931471805599453,0.4900999267681244,0.2652386953911806,2351
52,exploration,0.5166832424672169,350393,341648,-8745,341648,350393,8745,8745,673,left_equals_g_ij_times_right_v1,6,4.57763671875e-05,1.7917594692280547,0.4899234821269645,0.26491788455116033,2351
53,exploration,0.5404173308345204,342237,333836,-8401,333836,342237,8401,8401,681,left_equals_g_ij_times_right_v1,7,5.340576171875e-05,1.945910149055313,0.48974710093747953,0.2645986084750795,2351
54,exploration,0.5652416557419858,334452,326443,-8009,326443,334452,8009,8009,628,left_equals_g_ij_times_right_v1,9,6.866455078125e-05,2.1972245773362196,0.48957078316199854,0.2642815994524127,2351
55,exploration,0.5912062977191493,327087,319428,-7659,319428,327087,7659,7659,624,left_equals_g_ij_times_right_v1,14,0.0001068115234375,2.639057329615258,0.48939452879594614,0.2639664652771825,2351
56,exploration,0.6183636377682858,320074,312643,-7431,312643,320074,7431,7431,581,left_equals_g_ij_times_right_v1,18,0.0001373291015625,2.890371757896165,0.4892183377889615,0.26365411174144965,2351
57,exploration,0.646768463037708,313295,305918,-7377,305918,313295,7377,7377,532,left_equals_g_ij_times_right_v1,26,0.0001983642578125,3.2580965380214826,0.48904221015717114,0.26334468364792984,2351
58,exploration,0.6764780773492194,306607,299097,-7510,299097,306607,7510,7510,597,left_equals_g_ij_times_right_v1,31,0.00023651123046875,3.4339872044851463,0.4888661458844368,0.26303575400835755,2351
59,exploration,0.7075524168026974,299773,291974,-7799,291974,299773,7799,7799,591,left_equals_g_ij_times_right_v1,37,0.00028228759765625,3.610917912644225,0.488690144950594,0.2627274674155797,2351
60,exploration,0.7400541706910286,292673,284495,-8178,284495,292673,8178,8178,629,left_equals_g_ij_times_right_v1,43,0.00032806396484375,3.7612001156935624,0.48851420733756895,0.26242017887718677,2351
61,exploration,0.774048907969327,285215,276654,-8561,276654,285215,8561,8561,670,left_equals_g_ij_times_right_v1,63,0.00048065185546875,4.1431347263915335,0.4883383330646417,0.2621154508258147,2351
62,exploration,0.8096052095335772,277402,268544,-8858,268544,277402,8858,8858,724,left_equals_g_ij_times_right_v1,87,0.00066375732421875,4.465908118654583,0.48816252211892164,0.26181079415973585,2351
63,exploration,0.8467948065755568,269317,260314,-9003,260314,269317,9003,9003,749,left_equals_g_ij_times_right_v1,106,0.0008087158203125,4.663439094112068,0.4879867744495069,0.26150469769545165,2351
64,exploration,0.8856927252931611,261086,252123,-8963,252123,261086,8963,8963,688,left_equals_g_ij_times_right_v1,120,0.00091552734375,4.787491742782045,0.4878110900455052,0.2611973752289767,2351
65,exploration,0.9263774382480611,252896,244151,-8745,244151,252896,8745,8745,693,left_equals_g_ij_times_right_v1,155,0.00118255615234375,5.043425116919247,0.4876354688519293,0.2608907656855614,2351
66,exploration,0.9689310226760501,244942,236541,-8401,236541,244942,8401,8401,675,left_equals_g_ij_times_right_v1,194,0.0014801025390625,5.267858159063328,0.48745991084728246,0.2605826724458239,2351
67,exploration,1.0134393260694474,237325,229316,-8009,229316,237325,8009,8009,653,left_equals_g_ij_times_right_v1,219,0.00167083740234375,5.389071729816502,0.48728441605871176,0.2602739858853507,2351
68,exploration,1.0599921393656118,230119,222460,-7659,222460,230119,7659,7659,595,left_equals_g_ij_times_right_v1,275,0.00209808349609375,5.616771097666572,0.4871089844446932,0.2599649921901352,2351
69,exploration,1.108683378090945,223308,215877,-7431,215877,223308,7431,7431,611,left_equals_g_ij_times_right_v1,331,0.00252532958984375,5.802118375377064,0.4869336160005804,0.2596543020851579,2351
70,exploration,1.1596112718258396,216709,209332,-7377,209332,216709,7377,7377,619,left_equals_g_ij_times_right_v1,396,0.003021240234375,5.981414211254481,0.4867583106919441,0.25934220848599504,2351
71,exploration,1.2128785623727785,210198,202688,-7510,202688,210198,7510,7510,561,left_equals_g_ij_times_right_v1,483,0.00368499755859375,6.180016653652573,0.4865830685053232,0.25902921326824313,2351
72,exploration,1.268592711027387,202688,194889,-7799,194889,202688,7799,7799,617,left_equals_g_ij_times_right_v1,604,0.004608154296875,6.403574197934816,0.4864078894674573,0.2587159894023664,0
73,exploration,1.3268661153705743,194889,186711,-8178,186711,194889,8178,8178,643,left_equals_g_ij_times_right_v1,741,0.00565338134765625,6.608000625296086,0.48623277357837985,0.2584000886556065,0
74,exploration,1.3878163360191258,186711,178150,-8561,178150,186711,8561,8561,726,left_equals_g_ij_times_right_v1,915,0.00698089599609375,6.818924065275522,0.48605772083629795,0.2580823569450747,0
75,exploration,1.4515663337921914,178150,169292,-8858,169292,178150,8858,8858,720,left_equals_g_ij_times_right_v1,1122,0.0085601806640625,7.022868086082642,0.4858827312361514,0.2577599134785408,0
76,exploration,1.518244717772127,169292,160289,-9003,160289,169292,9003,9003,686,left_equals_g_ij_times_right_v1,1353,0.01032257080078125,7.2100796281707895,0.48570780470201436,0.2574340029777031,0
77,exploration,1.5879860047601246,160289,151326,-8963,151326,160289,8963,8963,702,left_equals_g_ij_times_right_v1,1587,0.01210784912109375,7.369600720526408,0.4855329412396975,0.2571023153903686,0
78,exploration,1.6609308906500702,151326,142581,-8745,142581,151326,8745,8745,679,left_equals_g_ij_times_right_v1,1913,0.01459503173828125,7.556427969440254,0.4853581408304584,0.2567646587825223,0
79,exploration,1.737226534268073,142581,134180,-8401,134180,142581,8401,8401,660,left_equals_g_ij_times_right_v1,2232,0.01702880859375,7.710653323501202,0.48518340345640376,0.2564219163874666,0
80,exploration,1.8170268542503085,134180,126171,-8009,126171,134180,8009,8009,634,left_equals_g_ij_times_right_v1,2626,0.0200347900390625,7.8732170548627405,0.4850087291261121,0.2560734580469911,0
81,exploration,1.9004928395580798,126171,118512,-7659,118512,126171,7659,7659,611,left_equals_g_ij_times_right_v1,3101,0.02365875244140625,8.039479919100447,0.48483411778092456,0.2557178155729022,0
82,exploration,1.9877928742565367,118512,111081,-7431,111081,118512,7431,7431,636,left_equals_g_ij_times_right_v1,3645,0.02780914306640625,8.20111164444276,0.4846595693644687,0.2553558701400057,0
83,exploration,2.0791030772122565,111081,103704,-7377,103704,111081,7377,7377,587,left_equals_g_ij_times_right_v1,4314,0.0329132080078125,8.369620826949099,0.4844850838687177,0.25498769572593666,0
84,exploration,2.174607657394998,103704,96194,-7510,96194,103704,7510,7510,593,left_equals_g_ij_times_right_v1,5002,0.0381622314453125,8.517593111437566,0.4843106612703098,0.25461248217400384,0
85,exploration,2.2744992855003985,96194,88395,-7799,88395,96194,7799,7799,597,left_equals_g_ij_times_right_v1,5881,0.04486846923828125,8.679482094459956,0.4841363015643606,0.25422896012646257,0
86,exploration,2.378979482643352,88395,80217,-8178,80217,88395,8178,8178,632,left_equals_g_ij_times_right_v1,7040,0.0537109375,8.859363449152088,0.4839620047119506,0.25383555002763786,0
87,exploration,2.4882590269061833,80217,71656,-8561,71656,80217,8561,8561,705,left_equals_g_ij_times_right_v1,8435,0.06435394287109375,9.040144994980068,0.4837877707139535,0.2534305199059035,0
88,exploration,2.6025583785618145,71656,62798,-8858,62798,71656,8858,8858,676,left_equals_g_ij_times_right_v1,10054,0.0767059326171875,9.215725844252525,0.48361359950936256,0.2530139099526482,0
89,exploration,2.7221081248297545,62798,53795,-9003,53795,62798,9003,9003,702,left_equals_g_ij_times_right_v1,11840,0.09033203125,9.379238908437994,0.48343949107282697,0.25258451923692066,0
90,exploration,2.8471494450621666,53795,44832,-8963,44832,53795,8963,8963,721,left_equals_g_ij_times_right_v1,13847,0.10564422607421875,9.535823881654714,0.4832654453860774,0.2521414143832044,0
91,exploration,2.977934597298476,44832,36087,-8745,36087,44832,8745,8745,700,left_equals_g_ij_times_right_v1,16007,0.12212371826171875,9.680781405546702,0.48309146239426126,0.25168383715090703,0
92,exploration,3.1147274271700933,36087,27688,-8399,27688,36087,8399,8399,676,left_equals_g_ij_times_right_v1,18472,0.14093017578125,9.82401135103433,0.48291754209493676,0.25121168283251605,0
93,exploration,3.2578039001819104,27688,19693,-7995,19693,27688,7995,7995,640,left_equals_g_ij_times_right_v1,21074,0.1607818603515625,9.955795332159473,0.48274368447079413,0.25072644343921124,0
94,exploration,3.407452658444415,19693,12070,-7623,12070,19693,7623,7623,625,left_equals_g_ij_times_right_v1,24069,0.18363189697265625,10.088679984421768,0.4825698894656072,0.25022727149535606,0
95,exploration,3.5639756029795366,12070,4706,-7364,4706,12070,7364,7364,593,left_equals_g_ij_times_right_v1,27396,0.209014892578125,10.218152296317793,0.482396157068574,0.24971375740995191,0
96,exploration,3.727688502774999,4706,0,-4706,0,4706,7271,4706,382,left_equals_g_ij_times_right_v1,31348,0.239166259765625,10.352905748172752,0.48222248725275646,0.24919236862750138,0
97,exploration,3.8989216318158686,0,0,0,0,0,7352,0,0,left_equals_g_ij_times_right_v1,35956,0.274322509765625,10.490051247693287,0.48204887996654466,0.24867223944159766,0
98,exploration,4.07802043537844,0,0,0,0,0,7576,0,0,left_equals_g_ij_times_right_v1,41457,0.31629180908203125,10.632412024471595,0.4818753351874182,0.24815336682942124,0
99,exploration,4.265346226930666,0,0,0,0,0,7874,0,0,left_equals_g_ij_times_right_v1,48134,0.3672332763671875,10.781744067092355,0.48170185289286493,0.24763574777568684,0
100,exploration,4.4612769170450095,0,0,0,0,0,8161,0,0,left_equals_g_ij_times_right_v1,55959,0.42693328857421875,10.932374558712674,0.4815284330603805,0.24711937927262456,0
101,exploration,4.666207775794268,0,0,0,0,0,8354,0,0,left_equals_g_ij_times_right_v1,64767,0.49413299560546875,11.07855149336457,0.48135507566746905,0.2466042583199611,0
102,exploration,4.880552230168413,0,0,0,0,0,8392,0,0,left_equals_g_ij_times_right_v1,74547,0.5687484741210938,11.219185077934481,0.48118178069164264,0.24609038192490104,0
103,exploration,5.10474269812114,0,0,0,0,0,8250,0,0,left_equals_g_ij_times_right_v1,85274,0.6505889892578125,11.353624880451747,0.48100854811042143,0.2455777471021079,0
104,exploration,5.339231460928736,0,0,0,0,0,7945,0,0,left_equals_g_ij_times_right_v1,96717,0.7378921508789062,11.479544467437897,0.48083537790133374,0.24506635087368583,0
105,exploration,5.584491575621173,0,0,0,0,0,7527,0,0,left_equals_g_ij_times_right_v1,108860,0.830535888671875,11.597817931988192,0.480662270041916,0.24455619026916062,0
106,exploration,5.841017829326149,0,0,0,0,0,7072,0,0,left_equals_g_ij_times_right_v1,121957,0.9304580688476562,11.711423802570721,0.48048922450971254,0.2440472623254614,0
107,exploration,6.109327737451374,0,0,0,0,0,6662,0,0,left_equals_g_ij_times_right_v1,131072,1.0,11.783502069519072,0.4803162412822761,0.243539564086902,0
108,exploration,6.3899625877188315,0,0,0,0,0,6364,0,0,left_equals_g_ij_times_right_v1,131072,1.0,11.783502069519072,0.48014332033716745,0.24303309260516232,0
109,exploration,6.683488532157227,0,0,0,0,0,6219,0,0,left_equals_g_ij_times_right_v1,131072,1.0,11.783502069519072,0.4799704616519551,0.24252784493927024,0
110,exploration,6.990497729255669,0,0,0,0,0,6230,0,0,left_equals_g_ij_times_right_v1,131072,1.0,11.783502069519072,0.4797976652042162,0.24202381815558288,0
111,exploration,7.311609538582669,0,0,0,0,0,6365,0,0,left_equals_g_ij_times_right_v1,131072,1.0,11.783502069519072,0.4796249309715356,0.2415210093277685,0
112,exploration,7.647471770280557,0,0,0,0,0,6565,0,0,left_equals_g_ij_times_right_v1,131072,1.0,11.783502069519072,0.4794522589315062,0.24101941553678793,0
113,exploration,7.998761991956005,0,0,0,0,0,6761,0,0,left_equals_g_ij_times_right_v1,131072,1.0,11.783502069519072,0.47927964906172926,0.24051903387087673,0
114,exploration,8.36618889560318,0,0,0,0,0,6883,0,0,left_equals_g_ij_times_right_v1,131072,1.0,11.783502069519072,0.47910710133981393,0.2400198614255265,0
115,exploration,8.750493727317165,0,0,0,0,0,6885,0,0,left_equals_g_ij_times_right_v1,131072,1.0,11.783502069519072,0.4789346157433775,0.23952189530346707,0
116,exploration,9.152451782681931,0,0,0,0,0,6748,0,0,left_equals_g_ij_times_right_v1,131072,1.0,11.783502069519072,0.47876219225004524,0.23902513261464825,0
117,exploration,9.572873970849647,0,0,0,0,0,6486,0,0,left_equals_g_ij_times_right_v1,131072,1.0,11.783502069519072,0.4785898308374505,0.23852957047622178,0
118,exploration,10.012608450466763,0,0,0,0,0,6142,0,0,left_equals_g_ij_times_right_v1,131072,1.0,11.783502069519072,0.4784175314832349,0.23803520601252323,0
119,exploration,10.472542340747065,0,0,0,0,0,5777,0,0,left_equals_g_ij_times_right_v1,131072,1.0,11.783502069519072,0.4782452941650478,0.23754203635505408,0
120,exploration,10.953603511143722,0,0,0,0,0,5456,0,0,left_equals_g_ij_times_right_v1,131072,1.0,11.783502069519072,0.4780731188605469,0.23705005864246387,0
121,exploration,11.456762453230732,0,0,0,0,0,5233,0,0,left_equals_g_ij_times_right_v1,131072,1.0,11.783502069519072,0.4779010055473977,0.23655927002053212,0
122,exploration,11.983034238570156,0,0,0,0,0,5143,0,0,left_equals_g_ij_times_right_v1,131072,1.0,11.783502069519072,0.477728954203274,0.2360696676421506,0
123,exploration,12.53348056651487,0,0,0,0,0,5191,0,0,left_equals_g_ij_times_right_v1,131072,1.0,11.783502069519072,0.4775569648058575,0.23558124866730554,0
124,exploration,13.109211906078151,0,0,0,0,0,5354,0,0,left_equals_g_ij_times_right_v1,131072,1.0,11.783502069519072,0.477385037332838,0.2350940102630598,0
125,exploration,13.711389736190974,0,0,0,0,0,5585,0,0,left_equals_g_ij_times_right_v1,131072,1.0,11.783502069519072,0.47721317176191336,0.23460794960353518,0
126,exploration,14.341228888866693,0,0,0,0,0,5828,0,0,left_equals_g_ij_times_right_v1,131072,1.0,11.783502069519072,0.47704136807078934,0.23412306386989473,0
127,exploration,15.0,0,0,0,0,0,6024,0,0,left_equals_g_ij_times_right_v1,131072,1.0,11.783502069519072,0.4768696262371799,0.23363935025032523,0
