spectrum,lmax,source,use_abs_for_TE,odd_sum_Dell,even_sum_Dell,R_odd_even,low_power_sum_Dell,source_label,R_odd_even_ratio_to_Planck_obs
TT,64,OPH_IR_reference_q0p15_ell6,False,35884.611879233096,37204.555390689886,0.9645219920626416,73089.167269923,"OPH IR reference q=0.15, ellIR=6",0.9587889683776514
TT,64,OPH_IR_bestfit_lowell_q0p2446_ell33p615,False,34283.37452648271,35532.08424773619,0.9648568400168352,69815.4587742189,"OPH IR best q=0.2446, ellIR=33.615",0.9591218260285984
TT,64,OPH_IR_joint_IRpart_q0p1670_ell67p979,False,33503.25670793979,34764.4794044452,0.9637209382072858,68267.73611238498,"OPH joint-fit IR part q=0.1670, ellIR=67.979",0.9579926759074827
EE,64,Planck_obs,False,2.6449024025,2.58861891281,1.0217426711253157,5.23352131531,,1.0
EE,64,CAMB_LCDM_powerlaw,False,2.04533832307663,2.1870273696535807,0.9352138667567778,4.232365692730211,CAMB LCDM power law,0.9153125274945816
EE,64,OPH_IR_reference_q0p15_ell6,False,2.041764550673682,2.1821812834900918,0.9356530395165735,4.223945834163773,"OPH IR reference q=0.15, ellIR=6",0.9157423546636007
EE,64,OPH_IR_bestfit_lowell_q0p2446_ell33p615,False,1.9912630412944736,2.129827897528503,0.9349408201503872,4.121090938822977,"OPH IR best q=0.2446, ellIR=33.615",0.9150452913165233
EE,64,OPH_IR_joint_IRpart_q0p1670_ell67p979,False,1.8876466060426262,2.0209019730753623,0.9340614394918171,3.908548579117989,"OPH joint-fit IR part q=0.1670, ellIR=67.979",0.914184623867251
TE,64,Planck_obs,True,85.2477528219,82.797271653,1.0295961584237927,168.04502447490003,,1.0
TE,64,CAMB_LCDM_powerlaw,True,45.44825981017675,48.397481172401015,0.9390625030315405,93.84574098257777,CAMB LCDM power law,0.9120687711861221
TE,64,OPH_IR_reference_q0p15_ell6,True,44.96787315654008,47.759211805116664,0.9415539213677405,92.72708496165674,"OPH IR reference q=0.15, ellIR=6",0.914488572693554
TE,64,OPH_IR_bestfit_lowell_q0p2446_ell33p615,True,40.90100806117138,43.54645505813588,0.9392500033944728,84.44746311930727,"OPH IR best q=0.2446, ellIR=33.615",0.9122508817752092
TE,64,OPH_IR_joint_IRpart_q0p1670_ell67p979,True,40.13988306998389,42.77235450103765,0.938453904121881,82.91223757102154,"OPH joint-fit IR part q=0.1670, ellIR=67.979",0.9114776666985226
TT,100,Planck_obs,False,75883.867601,73278.13540900001,1.0355594772909569,149162.00301,,1.0
TT,100,CAMB_LCDM_powerlaw,False,75422.16753114949,77272.6310604206,0.9760527950986398,152694.7985915701,CAMB LCDM power law,0.9425366833124954
TT,100,OPH_IR_reference_q0p15_ell6,False,75311.36598570304,77123.92641935548,0.9764980788997077,152435.29240505854,"OPH IR reference q=0.15, ellIR=6",0.9429666767709424
TT,100,OPH_IR_bestfit_lowell_q0p2446_ell33p615,False,73705.48541895625,75447.34745948084,0.9769128789920671,149152.83287843713,"OPH IR best q=0.2446, ellIR=33.615",0.9433672332831038
TT,100,OPH_IR_joint_IRpart_q0p1670_ell67p979,False,72507.05322667852,74272.0277796047,0.9762363489231292,146779.0810062832,"OPH joint-fit IR part q=0.1670, ellIR=67.979",0.9427139341884851
EE,100,Planck_obs,False,10.899917421,12.497385560809999,0.872175813730239,23.397302981809997,,1.0
EE,100,CAMB_LCDM_powerlaw,False,11.162178575976453,11.566391836080614,0.9650527782706406,22.728570412057067,CAMB LCDM power law,1.106488810029222
EE,100,OPH_IR_reference_q0p15_ell6,False,11.158583668931353,11.56152412330549,0.9651481543370308,22.720107792236842,"OPH IR reference q=0.15, ellIR=6",1.1065981642040212
EE,100,OPH_IR_bestfit_lowell_q0p2446_ell33p615,False,11.103567696110783,11.505067085378503,0.965102386080132,22.60863478148929,"OPH IR best q=0.2446, ellIR=33.615",1.1065456882511475
EE,100,OPH_IR_joint_IRpart_q0p1670_ell67p979,False,10.77179438151821,11.16921796538698,0.9644179578999736,21.941012346905193,"OPH joint-fit IR part q=0.1670, ellIR=67.979",1.105760951768682
TE,100,Planck_obs,True,292.7759213485,296.375011233,0.9878562977711014,589.1509325815001,,1.0
TE,100,CAMB_LCDM_powerlaw,True,267.1670114374209,280.1272685240579,0.9537343966729039,547.2942799614789,CAMB LCDM power law,0.965458638897999
TE,100,OPH_IR_reference_q0p15_ell6,True,266.6866319637195,279.48900679885594,0.9541936372318568,546.1756387625754,"OPH IR reference q=0.15, ellIR=6",0.9659235248940584
TE,100,OPH_IR_bestfit_lowell_q0p2446_ell33p615,True,262.59446143106453,275.2508123505294,0.9540188426279843,537.845273781594,"OPH IR best q=0.2446, ellIR=33.615",0.965746581542817
TE,100,OPH_IR_joint_IRpart_q0p1670_ell67p979,True,258.1545413209874,270.7185451563944,0.9535901619589867,528.8730864773819,"OPH joint-fit IR part q=0.1670, ellIR=67.979",0.9653126311089687
