ell,Planck_TT_obs_Dell_uK2,Planck_TT_err_sym_uK2,CAMB_LCDM_powerlaw_TT_model_Dell_uK2,OPH_IR_reference_q0p15_ell6_TT_model_Dell_uK2,OPH_IR_bestfit_lowell_q0p2446_ell33p615_TT_model_Dell_uK2,OPH_IR_joint_IRpart_q0p1670_ell67p979_TT_model_Dell_uK2,Planck_TE_obs_Dell_uK2,Planck_TE_err_sym_uK2,CAMB_LCDM_powerlaw_TE_model_Dell_uK2,OPH_IR_reference_q0p15_ell6_TE_model_Dell_uK2,OPH_IR_bestfit_lowell_q0p2446_ell33p615_TE_model_Dell_uK2,OPH_IR_joint_IRpart_q0p1670_ell67p979_TE_model_Dell_uK2,Planck_EE_obs_Dell_uK2,Planck_EE_err_sym_uK2,CAMB_LCDM_powerlaw_EE_model_Dell_uK2,OPH_IR_reference_q0p15_ell6_EE_model_Dell_uK2,OPH_IR_bestfit_lowell_q0p2446_ell33p615_EE_model_Dell_uK2,OPH_IR_joint_IRpart_q0p1670_ell67p979_EE_model_Dell_uK2
12,764.074,257.7635,821.7393926015036,820.7657303958559,698.8442745885886,710.7343463959436,1.476195,1.07795697,0.8099385316099251,0.8088553745383396,0.6558800754932019,0.6832509438780031,-0.005719897,0.010097268,0.0022255377853595,0.0022242897726832,0.0018538227820585,0.0018943300022907
13,599.003,197.087,827.3200699386424,826.8060944937646,710.5207452775713,718.1692215518381,0.6311854,1.09402007,0.8449877703400741,0.8443801791994429,0.6902386497666388,0.7138749951391914,0.007776633,0.0105093662,0.0021577374471726,0.0021569862647356,0.0018199983320312,0.0018433639078227
14,808.139,245.0605,838.8224973056564,838.5614685267612,726.934979274698,730.6986586719133,0.595275,1.12092633,0.9001666912831332,0.8998265558550924,0.7410065715378809,0.7615575002652851,-3.443407e-05,0.0115344805,0.0022625346564271,0.0022620541871863,0.0019251164048778,0.0019383091162575
15,1022.111,296.5935,846.539345582964,846.412009264128,740.3926132261998,740.1812090502518,0.8788698,1.10564445,0.9563807525131218,0.9561950378924952,0.79369958637018,0.8105360597403732,0.0001619209,0.0117477687,0.0024368692842511,0.0024365550610284,0.0020841943962855,0.0020917788571513
16,621.292,183.3875,854.1044911382558,854.0454169340796,753.8050857543592,749.6529775283362,0.6468342,1.16322924,1.0174339971496802,1.0173364886863547,0.8514131843639087,0.8640759396784825,0.006478534,0.0126622465,0.0026931473628338,0.0026929386056732,0.0023113503911836,0.0023153732400659
17,1035.378,284.13100000000003,864.03690455929,864.0093580697269,769.204642768909,761.2406268896384,2.001328,1.10966157,1.082711826472678,1.0826617052344274,0.9128493892910152,0.9211804026623356,0.01173684,0.0126837392,0.003081123862656,0.0030809789881187,0.0026524136027739,0.0026521035893942
18,674.593,186.6065,876.7441785361013,876.731935066125,786.8698256175323,775.2466013521331,-1.493184,1.34396484,1.1509632152219875,1.1509387293060738,0.9766102141086772,0.9806274840085332,0.01833144,0.015243413,0.0036383128029391,0.0036382043994176,0.0031425526076823,0.0031345218599056
19,951.642,251.27550000000002,891.7714924532806,891.7663104178973,806.5978189895488,791.4538793360924,-2.131454,1.2150827,1.221693576654984,1.2216821095003854,1.0428720665427798,1.0425272892607769,0.0003609547,0.0147304121,0.0043500180512718,0.0043499275886256,0.0037728405330395,0.0037520940646002
20,659.863,171.20850000000002,905.963837320286,905.9617632429412,825.5095049566713,806.9680049129331,1.339711,1.21841691,1.2864971593106935,1.2864920389364396,1.10393506752136,1.0990082657512248,-0.006219622,0.0147975376,0.0051800221521622,0.0051799380555129,0.0045136437129056,0.0044735797291433
21,601.924,160.654,919.9183148666692,919.9174299691824,844.1923627422693,822.3947015046834,1.127183,1.33669351,1.3514845749079272,1.3514822425553237,1.1659372565520127,1.1558576183377518,0.03302388,0.0173028287,0.0061386669937562,0.0061385822289941,0.0053770312431322,0.0053084328436904
22,605.295,154.36950000000002,933.9296090250888,933.9292470506588,862.8637043204345,837.9739509802147,0.1880084,1.32645553,1.420238140154003,1.4202371141895298,1.2323454424382971,1.2162096693581692,0.0001477188,0.017476272,0.0072582926162869,0.0072582036031439,0.0063961236634391,0.0062872120241047
23,748.519,182.319,947.8990585330054,947.8989304492516,881.3620122665226,853.5510263866055,1.862,1.40990823,1.4952362090103468,1.4952357718963858,1.3056291730532643,1.2824540340788533,0.04086001,0.0181063207,0.0085403874315754,0.0085402921103611,0.0075742596340912,0.0074119150206133
24,850.496,204.40800000000002,962.3676494562092,962.3676093196988,900.1807556119612,869.6247373840135,0.4322522,1.36955946,1.5764288526902348,1.5764286686524442,1.385830350160867,1.354718094323608,0.03566588,0.0200335507,0.009981818606516,0.0099817158096452,0.0089105454009203,0.0086808671013044
25,814.268,196.86950000000002,977.4038341115082,977.4038178234056,919.3877103797224,886.2782806737447,3.445005,1.44104574,1.6502999538139946,1.6502998525417103,1.4598205316754544,1.4203679849532966,0.04066037,0.020903648,0.0115609110481375,0.0115607999194456,0.0103860305226226,0.0100753555534404
26,823.803,189.8765,992.4217401877238,992.4217374930828,938.4044919196808,902.9452188576132,3.583618,1.47076673,1.7144146651151446,1.7144145745313402,1.5254989631089877,1.4777809248070086,-0.004156013,0.0207465429,0.0132649413008496,0.0132648211663675,0.0119903231619823,0.0115852814642724
27,1004.022,219.086,1007.8997790214256,1007.8997827509136,957.7028143225492,920.085239528908,1.617268,1.5610389,1.7711726835954702,1.7711725772380844,1.5850892594563732,1.5291829909325634,0.05012292,0.0213700113,0.0151109028407119,0.0151107732723804,0.0137406907069608,0.0132274072163665
28,1149.889,247.084,1023.7492617282652,1023.7492596606612,977.1861863157844,937.589082104108,4.164023,1.59705133,1.8184229235692388,1.8184228018380864,1.6361755870857944,1.572103058048431,0.03148314,0.0231844267,0.0171034123691562,0.0171032731195525,0.0156415308789197,0.0150053062203331
29,979.567,209.863,1039.8544317485562,1039.8544248188473,996.740813290911,955.3511851720912,1.901511,1.6270755,1.860214589277244,1.8602144570424843,1.682697913359019,1.6106702984305994,-0.0002208094,0.0237116252,0.0192665859413819,0.0192664366188297,0.0177168268907102,0.0169416580815264
30,1102.80565,274.694273,1056.343946302644,1056.343946902608,1016.4997834976436,973.5145314227748,1.5022518,3.53684333,1.8884612951569275,1.888461152703539,1.716482955231397,1.6368958652587742,0.0345830303,0.0917916238,0.0216270073124847,0.0216268473872205,0.0199931787038077,0.0190617174980414
31,764.235896,273.96774,1072.5460971809712,1072.5461041528297,1035.7959317185214,991.4074925624992,1.61142593,3.51877104,1.9143203474899224,1.9143201766895588,1.7485349680800857,1.6617048789212183,-0.0507487342,0.0912748664,0.0241924954982137,0.024192324651843,0.0224789315963734,0.0213727971547215
32,1543.85108,273.449299,1089.2528301335676,1089.2528288953888,1055.4227202694904,1009.8133112934432,3.30663716,3.5030688,1.933545081342697,1.9335448594345923,1.7744505424784398,1.6806168145671014,0.3105831,0.0908390354,0.0269920616076788,0.0269918797738513,0.0252038672808983,0.0239040196664443
33,1077.26738,273.099875,1106.1335902425703,1106.1335782952533,1075.0388931083642,1028.3718433535437,-0.0427259621,3.49305063,1.9454152805457208,1.9454150490911408,1.793404096906917,1.6930006248442968,-0.0157260981,0.0906288363,0.0299908155873564,0.0299906227649101,0.0281343336136508,0.0266222551035657
34,979.159409,272.915809,1123.3280201612688,1123.3280089900754,1094.777984638485,1047.201858428987,1.18601835,3.48659521,1.9516199013626576,1.9516197506014088,1.8069945258937137,1.7006766494615768,0.00553240588,0.0905581539,0.0332161859391833,0.0332159820213655,0.0312988658997682,0.0295565573881417
35,739.911555,272.870601,1141.215707869237,1141.2157050415854,1115.0440637423346,1066.7178233368304,-2.04503036,3.48363663,1.9429843215452407,1.9429842588702004,1.805966980863451,1.6944474796133602,-0.0465978911,0.0906221481,0.0366715302432639,0.036671314521368,0.0347009367880699,0.0327097220865992
36,1122.51626,272.952096,1158.6730448409878,1158.673050184862,1134.7378959173066,1085.8296807394413,3.85820152,3.48383842,1.9294366852423523,1.9294366316440368,1.8001748501653283,1.6841942684189906,-0.150485805,0.0908143744,0.0403777152469036,0.0403774865636914,0.0383614238333052,0.0361021930051387
37,1523.72049,273.164601,1176.2794548824202,1176.2794631004924,1154.4322622725774,1105.0893432221917,6.75743118,3.48736293,1.9042496875608064,1.9042495949343077,1.7828281199185452,1.6632000723159392,0.0568015668,0.0911329405,0.044340445103846,0.0443402029634888,0.0422866166840852,0.0397419950816996
38,1285.91266,273.491129,1194.237784241639,1194.2377870919604,1174.320194854526,1124.665804865777,6.72141515,3.49380182,1.868679172815054,1.868679043232615,1.7551214821295222,1.6327331122830575,0.26648489,0.0915685995,0.0485320213293325,0.0485317659584456,0.0464494136224604,0.0436039575970999
39,1243.83149,273.908448,1212.4385936586484,1212.438586061209,1194.3007708431485,1144.4514728532909,0.315724533,3.50296097,1.8229624580210704,1.8229623035188744,1.7172252815398148,1.5929937912454826,0.168720087,0.092113367,0.0529536768297079,0.0529534083114315,0.0508511147197072,0.0476899254265775
40,1715.07099,274.432309,1230.763084607683,1230.7630661719663,1214.2682908393756,1164.338319760728,4.16582322,3.51465143,1.7660608512455882,1.7660606837690898,1.6680323988956216,1.5428941803800282,0.0731691748,0.0927586969,0.0576164955109353,0.0576162135685009,0.0555027386471809,0.052011115493842
41,1427.08779,275.039792,1249.1014247472233,1249.10139885006,1234.1248535058169,1184.225053035594,0.0657440498,3.52890592,1.697333389417771,1.6973332204038154,1.606840584114123,1.481745493750503,0.209184681,0.0935051895,0.0625320098838109,0.0625317139489843,0.060415692711427,0.0565793597517115
42,1391.08758,275.714328,1267.491072217065,1267.4910423102986,1253.9151753885133,1204.1487453303355,-0.648906303,3.54533805,1.6176630844155409,1.617662923126344,1.5345001235172335,1.4103885769136115,0.0224586912,0.0943406139,0.0677130282666027,0.0677127177532704,0.0656024201441154,0.0614084316659426
43,1235.15157,276.448251,1285.993308086566,1285.9932767750474,1273.7066278451675,1224.1680609165944,1.89826413,3.5637819,1.527914691616891,1.5279145447220746,1.4518501872286511,1.329647432942273,0.0460999553,0.0952615255,0.0731725104409121,0.0731721848135287,0.0710754556707037,0.0665124225889901
