ell,TT_Cl_uK2,EE_Cl_uK2,BB_Cl_uK2,TE_Cl_uK2,TT_Dl_uK2,EE_Dl_uK2,BB_Dl_uK2,TE_Dl_uK2
65,2.563431028486558,0.0003973245384186736,1.3140937791042389e-06,-0.005499256862012056,1750.2458664781532,0.2712831448514512,0.0008972299935059125,-3.754753486432135
66,2.5200832619238724,0.00040264071111556856,6.423391381255527e-07,-0.005891003716144781,1773.5921573877035,0.28337175135015547,0.000452067467363335,-4.145989201213871
67,2.478486185354431,0.0004078400304631793,-6.5738389416459165e-09,-0.0062754801533473495,1797.1749213845112,0.2957288521583208,-4.766755833846801e-06,-4.55041291651552
68,2.4384943245990645,0.00041291580718124895,-6.313377316383681e-07,-0.006651821070708851,1820.9578122652356,0.3083469406959264,-0.00047145460336214725,-4.967280597009117
69,2.3999648518137744,0.00041786529330900703,-1.2307151457569257e-06,-0.007019316866735377,1844.8970812646467,0.3212207292973314,-0.0009460733470988888,-5.395877856346478
70,2.362785968056956,0.00042268725513932133,-1.80354389305419e-06,-0.0073776017093282725,1868.9638594336357,0.3343456472057196,-0.0014266033405439917,-5.83568344760797
71,2.3268646137575764,0.0004273838761257029,-2.3487418294914588e-06,-0.007726759942050326,1893.1372105063954,0.3477195511420156,-0.0019109365147388863,-6.286492422661298
72,2.292277020939682,0.00043195758764846733,-2.8653113274442794e-06,-0.00806819573624814,1917.5318621101123,0.361340461833279,-0.002396885592382336,-6.74919403399798
73,2.2590889659529423,0.00043640930051168456,-3.3523433549532585e-06,-0.008403247388318554,1942.2630397567857,0.37520507928841484,-0.0028821939697949925,-7.224733980044521
74,2.2272386013548586,0.00044073326030048755,-3.8090211427350943e-06,-0.008731916464045973,1967.3419823214133,0.38930406713815424,-0.003364546214803457,-7.712988556947234
75,2.1966594625073097,0.00044492363444168073,-4.234623418487346e-06,-0.009053849713794023,1992.7725069614585,0.40362723560288816,-0.003841579120354277,-8.213500134980325
76,2.167239201461006,0.000448973069633433,-4.628527191541596e-06,-0.00936864142859779,2018.5118195475989,0.4181621701484148,-0.004310893249312732,-8.725715852675432
77,2.1387881868137457,0.00045287874000565575,-4.9902100736802095e-06,-0.009674981693082983,2044.4346652207062,0.43289980789933524,-0.004770064901360819,-9.248165891631176
78,2.1112452609259433,0.0004566368370041398,-5.319252124516201e-06,-0.00997272362260572,2070.525165469837,0.44782957243108495,-0.005216658428618265,-9.780377301983657
79,2.0846126135211533,0.000460244771875125,-5.615337213195676e-06,-0.010262047082064843,2096.826859841192,0.46294145660912817,-0.0056482388235223075,-10.322174882307046
80,2.058868915954178,0.00046370030308871916,-5.878253889758729e-06,-0.01054327480327258,2123.3609901872896,0.47822526586657266,-0.006062384498211624,-10.87353267253456
81,2.0339958756518137,0.00046700143453398115,-6.1078957630665975e-06,-0.010816498112109392,2150.151546643412,0.4936705471077469,-0.006456700172750262,-11.43419729775243
82,2.009965013519704,0.00047014759199797524,-6.3042613850422305e-06,-0.01108165782098705,2177.2112731393786,0.509267887974255,-0.006828829787587077,-12.003746418787925
83,1.986718062013019,0.0004731369298729597,-6.467453644602513e-06,-0.011338844022290233,2204.5185126924775,0.5250061097680738,-0.007176469355224115,-12.581901799565683
84,1.964220408794941,0.00047596848671557746,-6.597678674791086e-06,-0.01158789117347191,2232.0738659053254,0.5408745451556184,-0.007497379662538407,-13.168088944320646
85,1.9424329630256254,0.00047864080403788186,-6.695244282699913e-06,-0.01182898225007524,2259.8704742151067,0.5568615449744704,-0.007789398738663923,-13.762105686942542
