snapshot_index,cycle,cluster_index,cluster_id,worldline_id,x,y,z,cluster_class,support_node_count,interpolated
60,120,24,defect_cluster_000283,worldline_000140,-0.9593518173590185,-0.28150991974014955,-0.019906170345966277,transposition,5,True
60,120,25,defect_cluster_000326,worldline_000157,-0.814332072970327,-0.5798098717012011,0.02614933287269216,transposition,4,True
60,120,26,defect_cluster_000339,worldline_000163,0.842048880664938,0.41833885359498646,-0.3405088635318576,threecycle,3,True
60,120,27,defect_cluster_000345,worldline_000166,-0.3940457875217668,-0.835838214112967,0.3822334328192606,threecycle,6,True
60,120,28,defect_cluster_000360,worldline_000173,0.7615740133810713,0.4851607304598508,-0.4296790520403706,threecycle,4,True
60,120,29,defect_cluster_000394,worldline_000178,0.3826240135616271,-0.1664455731328214,0.9087875084036302,transposition,5,True
60,120,30,defect_cluster_000306,worldline_000183,-0.9584472241546942,0.2106587439669964,0.19235855088976023,threecycle,5,True
60,120,31,defect_cluster_000384,worldline_000186,-0.4469836355292346,-0.14533984064626582,0.8826561959732601,transposition,6,True
60,120,32,defect_cluster_000068,worldline_000209,0.7290188355667289,-0.26461513554492416,0.631276775613892,transposition,3,True
60,120,33,defect_cluster_000422,worldline_000211,0.9172692266507332,-0.2827012794565598,-0.2805301274964773,transposition,3,True
60,120,34,defect_cluster_000438,worldline_000219,-0.126786193770565,-0.236547300523696,-0.9633123250971749,transposition,4,True
60,120,35,defect_cluster_000442,worldline_000221,-0.11858681504206794,-0.2368315838317357,-0.9642862480601546,transposition,3,True
60,120,36,defect_cluster_000448,worldline_000224,0.07979764610945944,-0.023636851509435175,0.9965307997879997,transposition,3,True
60,120,37,defect_cluster_000455,worldline_000228,0.47825441512362044,0.12138532602051413,0.8697921113930944,threecycle,5,True
60,120,38,defect_cluster_000460,worldline_000231,-0.027334933597530614,0.24095956829735232,-0.9701501367577969,transposition,4,True
60,120,39,defect_cluster_000500,worldline_000253,-0.5942499921126134,0.32661015808232186,-0.7349780619253881,transposition,4,True
60,120,40,defect_cluster_000509,worldline_000258,0.37591992264460294,0.9256845986270115,0.0423348039280243,transposition,5,True
60,120,41,defect_cluster_000537,worldline_000266,-0.9161175642411956,0.396463271324483,-0.05954395837923517,threecycle,5,True
60,120,42,defect_cluster_000563,worldline_000284,-0.040934831623917894,0.1651997678756657,-0.9854102578387072,transposition,6,True
60,120,43,defect_cluster_000590,worldline_000295,-0.5114910859392344,0.7639335253673778,-0.3934239924362426,transposition,3,True
60,120,44,defect_cluster_000611,worldline_000307,-0.4836758294809864,0.051280468081766936,0.873743672691937,threecycle,7,True
60,120,45,defect_cluster_000642,worldline_000326,0.29416160967737204,-0.8296429301394661,-0.4745119132978838,transposition,6,True
60,120,46,defect_cluster_000650,worldline_000327,-0.8078450778822202,0.4043698480064598,0.4288022343280201,transposition,5,True
60,120,47,defect_cluster_000686,worldline_000345,0.09760884850624069,-0.9748484554986669,0.20035718481040132,threecycle,3,True
60,120,48,defect_cluster_000651,worldline_000349,-0.8027601595870475,0.40764487356696044,0.4352031516824696,threecycle,3,True
60,120,49,defect_cluster_000064,worldline_000366,0.7248868247093139,-0.2598743958021853,0.6379689567442114,transposition,3,True
60,120,50,defect_cluster_000717,worldline_000367,-0.6911497055813104,-0.5992739265518696,0.40395896503230644,transposition,6,True
60,120,51,defect_cluster_000733,worldline_000375,0.9141102649812962,0.2613076169641705,-0.3100334704065527,transposition,3,True
