worldline_id,event_index,cycle,event,class,holonomy_mode,support_node_count,x,y,z,vx,vy,vz,pair_h3_separation,support_overlap_fraction,support_overlap_node_count,contact_outcome,charge_conservation_pass,transport_distance
free_pair_left,57,57,continue,transposition,1,8,0.529055615209162,-0.8328321498996889,0.14131934061288448,0.08616442129267528,0.019735376854010972,0.03760352114985902,0.24831458652834543,0.0,0,scatter,True,0.058606967812769334
free_pair_left,58,58,continue,transposition,1,8,0.574129423753189,-0.8225650970028043,0.14687538313864737,0.09814702830897594,0.02235623666759842,0.01209813593917359,0.24099777727352512,0.0,0,scatter,True,0.053767687009081036
free_pair_left,59,59,continue,transposition,1,8,0.6178710411205681,-0.8148605623858868,0.13992617811286825,0.09974265506565058,0.017568411617757643,-0.015846056949500986,0.24604105800097964,0.0,0,scatter,True,0.0519273132194367
free_pair_left,60,60,continue,transposition,1,8,0.6594455164434913,-0.8115756318837758,0.12130750790209577,0.09005874035910998,0.0071158252963980685,-0.04033181353029179,0.2619870739870069,0.0,0,scatter,True,0.05274377120190706
free_pair_left,61,61,continue,transposition,1,8,0.6970279944804559,-0.8141890766165804,0.09089461786531672,0.0732768824780756,-0.005095594876961264,-0.05929789320575843,0.2875874956788622,0.0,0,scatter,True,0.056059905153311045
free_pair_left,62,62,continue,transposition,1,8,0.7277833160587613,-0.8248804765979949,0.04916426432226813,0.049724401174987234,-0.017285576430880537,-0.06746854639335974,0.3224808393225057,0.0,0,scatter,True,0.06161438911680435
free_pair_left,63,63,continue,transposition,1,8,0.747560804962262,-0.8482200919104645,-0.0013612273990246393,0.02613596143376224,-0.030843313256900987,-0.06676946246779808,0.3643876438327842,0.0,0,scatter,True,0.0690773007808742
free_pair_left,64,64,continue,transposition,1,8,0.750839421938273,-0.8864751249080042,-0.05544059571045944,0.0034304061355100207,-0.04002611493476733,-0.05658306481587187,0.41084955493687125,0.0,0,scatter,True,0.07840286504313235
free_pair_left,65,65,continue,transposition,1,8,0.7368794314140173,-0.9339393419761682,-0.09460872386074805,-0.013959990524255669,-0.04746421706816409,-0.03916812815028861,0.4487398520221111,0.0,0,scatter,True,0.0754037719844214
free_pair_left,66,66,continue,transposition,1,8,0.7126942231466389,-0.9850996297135288,-0.11124811922523832,-0.024185208267378487,-0.05116028773736057,-0.016639395364490273,0.4679857279039579,0.0,0,scatter,True,0.0712984702738394
free_pair_left,67,67,continue,transposition,1,8,0.684664799914891,-1.0339043377401542,-0.10364951571182388,-0.028029423231747827,-0.04880470802662531,0.007598603513414438,0.46418932557588694,0.0,0,scatter,True,0.06989875987656649
free_pair_left,68,68,continue,transposition,1,8,0.659116866510175,-1.0772829291047599,-0.07205701421916508,-0.025547933404716047,-0.04337859136460554,0.03159250149265879,0.4367814253437402,0.0,0,scatter,True,0.07446210540000223
free_pair_left,69,69,continue,transposition,1,8,0.6400432967640776,-1.112282084001107,-0.017558776905166336,-0.019073569746097422,-0.03499915489634702,0.05449823731399874,0.39321172910978897,0.0,0,scatter,True,0.08598651296435962
free_pair_left,70,70,continue,transposition,1,8,0.6372249595572993,-1.134068876323378,0.04570730288629465,-0.003231953862408595,-0.024984202538329246,0.07255095325346148,0.3534116207964735,0.0,0,scatter,True,0.08587710405392991
free_pair_left,71,71,continue,transposition,1,8,0.6500178987011468,-1.1428588086923266,0.10326856406390045,0.01829821616795328,-0.012572566849586379,0.08233201050083913,0.3275557001127311,0.0,0,scatter,True,0.07680801283078674
free_pair_left,72,72,continue,transposition,1,8,0.6757539048970579,-1.1425339361442681,0.1516935702670504,0.04175606553047749,0.0005270980781757892,0.07856843509206826,0.31498482285476415,0.0,0,scatter,True,0.0708712059850924
free_pair_left,73,73,continue,transposition,1,8,0.7119593701852415,-1.13682619406055,0.18910066819830307,0.06425722286848547,0.010130063299283397,0.0663898726200394,0.3152824399841361,0.0,0,scatter,True,0.06771737795505071
free_pair_left,74,74,continue,transposition,1,8,0.756901781395987,-1.1289147299493292,0.21409647298148018,0.08040423715910511,0.014154007752086199,0.04471875365887675,0.3274324717224418,0.0,0,scatter,True,0.06711273223408565
free_pair_left,75,75,continue,transposition,1,8,0.808602950780736,-1.1201234266060243,0.22510531233042338,0.08854423288047232,0.015056123871389285,0.018853910784928485,0.3500781485730456,0.0,0,scatter,True,0.0691920456673472
free_pair_left,76,76,continue,transposition,1,8,0.8647754992471922,-1.1131421062488462,0.220280739862878,0.08519551579060039,0.010588396022024429,-0.007317309808137148,0.3824187309516026,0.0,0,scatter,True,0.07349361146859036
free_pair_left,77,77,continue,transposition,1,8,0.9221678070906015,-1.113174456388156,0.19809930299412715,0.074906658335733,-4.2222397451099555e-05,-0.02895052273305566,0.4221899196521608,0.0,0,scatter,True,0.07935979530588323
free_pair_left,78,78,continue,transposition,1,8,0.9753001845215499,-1.1244206637690997,0.1583261104524632,0.05733489694720667,-0.01213572914314458,-0.04291906377803899,0.46586564234166583,0.0,0,scatter,True,0.08692423685816351
free_pair_left,79,79,continue,transposition,1,8,1.011526470637524,-1.147666870524218,0.10904804892933152,0.0362262861159741,-0.02324620675511822,-0.049278061523131675,0.49984785947959565,0.0,0,scatter,True,0.08558894059957967
free_pair_left,80,80,continue,transposition,1,8,1.026914597790223,-1.182899757578057,0.059945610308759126,0.015388127152698954,-0.0352328870538393,-0.0491024386205724,0.515918427842931,0.0,0,scatter,True,0.08318390056463693
free_pair_left,81,81,continue,transposition,1,8,1.0228280890657901,-1.2288075254455406,0.01920640197755947,-0.004086508724432943,-0.045907767867483566,-0.04073920833119966,0.5124880934459827,0.0,0,scatter,True,0.08404421455410889
free_pair_left,82,82,continue,transposition,1,8,1.0011184137114955,-1.2802655718493363,-0.006536266696519778,-0.02170967535429469,-0.05145804640379574,-0.025742668674079247,0.4914881677290883,0.0,0,scatter,True,0.08703226784925543
free_pair_left,83,83,continue,transposition,1,8,0.9670031055948475,-1.3341132169484515,-0.0116395979462592,-0.03411530811664795,-0.05384764509911518,-0.005103331249739421,0.4585825123151167,0.0,0,scatter,True,0.0931107429449136
free_pair_left,84,84,continue,transposition,1,8,0.9285796200655135,-1.3865434305479594,0.0071744838115795646,-0.03919292138040322,-0.053480136204573904,0.01919083646423772,0.4254515538760157,0.0,0,scatter,True,0.10031543798860122
free_pair_left,85,85,continue,transposition,1,8,0.8978499506146561,-1.426142092696283,0.043385826023676625,-0.03732093684088064,-0.048092257268966966,0.04397838440086051,0.4027526671070558,0.0,0,scatter,True,0.09305172941563573
free_pair_left,86,86,continue,transposition,1,8,0.878164193369679,-1.4528323545855177,0.09071738076204056,-0.026811713392186534,-0.036351746251425024,0.06446488515829882,0.39177296860729066,0.0,0,scatter,True,0.08800426956526276
free_pair_left,87,87,continue,transposition,1,8,0.8718818730913044,-1.4683256648171548,0.14379343808170988,-0.009243031102329793,-0.022794945498403607,0.07808956354604529,0.3929388958357725,0.0,0,scatter,True,0.0852991447284906
free_pair_left,88,88,continue,transposition,1,8,0.8802010211415527,-1.4740482462858684,0.19823651506721685,0.012329114563887744,-0.008480960081825285,0.08068553766690535,0.40607064759832606,0.0,0,scatter,True,0.08521990722943285
