control_name,mode,step,cycle,left_x,left_y,left_z,right_x,right_y,right_z,tangent_separation,h3_separation,stress_kernel,local_readout_contraction
shuffledPair,shuffled_pair_control,52,52,-1.118821742966133,0.0,0.0,1.118821742966133,0.0,0.0,2.237643485932266,2.237643485932266,0.16647110833527537,0.993341155666589
shuffledPair,shuffled_pair_control,53,53,-1.125480587299544,0.0,0.0,1.125480587299544,0.0,0.0,2.250961174599088,2.250961174599088,0.1648308300681916,0.9934067667972724
shuffledPair,shuffled_pair_control,54,54,-1.1320738205022716,0.0,0.0,1.1320738205022716,0.0,0.0,2.264147641004543,2.264147641004543,0.16322894163861,0.9934708423344556
shuffledPair,shuffled_pair_control,55,55,-1.138602978167816,0.0,0.0,1.138602978167816,0.0,0.0,2.277205956335632,2.277205956335632,0.16166405421479813,0.9935334378314081
shuffledPair,shuffled_pair_control,56,56,-1.145069540336408,0.0,0.0,1.145069540336408,0.0,0.0,2.290139080672816,2.290139080672816,0.16013484612511641,0.9935946061549954
shuffledPair,shuffled_pair_control,57,57,-1.1514749341814126,0.0,0.0,1.1514749341814126,0.0,0.0,2.302949868362825,2.302949868362825,0.15864005882691376,0.9936543976469234
shuffledPair,shuffled_pair_control,58,58,-1.1578205365344891,0.0,0.0,1.1578205365344891,0.0,0.0,2.3156410730689783,2.3156410730689783,0.15717849316250013,0.9937128602735
shuffledPair,shuffled_pair_control,59,59,-1.1641076762609892,0.0,0.0,1.1641076762609892,0.0,0.0,2.3282153525219784,2.3282153525219784,0.15574900587866636,0.9937700397648533
shuffledPair,shuffled_pair_control,60,60,-1.1703376364961358,0.0,0.0,1.1703376364961358,0.0,0.0,2.3406752729922715,2.3406752729922715,0.15435050638839268,0.9938259797444643
shuffledPair,shuffled_pair_control,61,61,-1.1765116567516716,0.0,0.0,1.1765116567516716,0.0,0.0,2.353023313503343,2.353023313503343,0.1529819537553363,0.9938807218497866
shuffledPair,shuffled_pair_control,62,62,-1.182630934901885,0.0,0.0,1.182630934901885,0.0,0.0,2.36526186980377,2.36526186980377,0.15164235388344313,0.9939343058446622
shuffledPair,shuffled_pair_control,63,63,-1.1886966290572227,0.0,0.0,1.1886966290572227,0.0,0.0,2.3773932581144455,2.3773932581144455,0.15033075689560255,0.9939867697241759
