sample_id,sample_kind,slice_index,cycle,relative_time,slice_axis,slice_value,x,y,z,density,normalized_density,h3_green_potential,normalized_curvature_potential,curvature_potential,compactification_factor,emergent_spatial_scale_factor,local_metric_conformal_factor
volume_00010,volume,,,,,,-7.54665557127362,-8.354742574901804,4.108132108940822,2551.4055785380283,0.5602546992609907,24.606847781951405,0.05138438941508019,0.05138438941508019,0.04887307623396141,0.9511269237660385,0.9046424251126476
volume_00011,volume,,,,,,-7.54665557127362,-7.027440163898363,-3.4892452312314424,1261.2864667008387,0.27696171711294376,3.977816033969786,0.008306535234512021,0.008306535234512021,0.008238105124033623,0.9917618948759664,0.9835916561279675
volume_00012,volume,,,,,,-7.54665557127362,-7.027440163898363,-2.729507497214216,1504.6649155501161,0.33040438448564347,5.759743095352546,0.01202758210905403,0.01202758210905403,0.011884638641951521,0.9881153613580484,0.9763719673517467
volume_00013,volume,,,,,,-7.54665557127362,-7.027440163898363,-1.9697697631969895,1788.2171240171906,0.39266867465410005,8.582096136501168,0.017921262153662965,0.017921262153662965,0.017605744982422435,0.9823942550175775,0.9650984722915411
volume_00014,volume,,,,,,-7.54665557127362,-7.027440163898363,-1.210032029179763,2104.0130390829177,0.46201325354475925,13.054630860872834,0.02726087639381562,0.02726087639381562,0.02653744245523545,0.9734625575447646,0.9476293509415942
volume_00015,volume,,,,,,-7.54665557127362,-7.027440163898363,-0.4502942951625366,2430.396928411981,0.5336828106304131,19.91825722743341,0.04159360414278175,0.04159360414278175,0.039932660854818475,0.9600673391451815,0.921729295693309
volume_00016,volume,,,,,,-7.54665557127362,-7.027440163898363,0.30944343885468983,2727.6785085785514,0.5989618880507462,29.511519821012044,0.061626399291420435,0.061626399291420435,0.058049045627117796,0.9419509543728823,0.8872716004439839
volume_00017,volume,,,,,,-7.54665557127362,-7.027440163898363,1.0691811728719163,2941.070319043349,0.6458198888336789,40.31418679172996,0.08418469083951297,0.08418469083951297,0.07764792433503791,0.9223520756649621,0.8507333514834641
volume_00018,volume,,,,,,-7.54665557127362,-7.027440163898363,1.8289189068891423,3017.769802522891,0.6626620743379243,46.85165925660541,0.09783633910841141,0.09783633910841141,0.08911741725352933,0.9108825827464707,0.8297070795508811
volume_00019,volume,,,,,,-7.54665557127362,-7.027440163898363,2.588656640906369,2935.603637253992,0.6446194782883642,41.99355163029229,0.08769156573870157,0.08769156573870157,0.08062172080845931,0.9193782791915406,0.8452564202491983
volume_00020,volume,,,,,,-7.54665557127362,-7.027440163898363,3.348394374923596,2720.2496800535673,0.5973306162035196,30.186907664279502,0.06303675433779582,0.06303675433779582,0.05929875338794254,0.9407012466120575,0.884918835377479
volume_00021,volume,,,,,,-7.54665557127362,-7.027440163898363,4.108132108940822,2428.5174663081793,0.5332701057729042,20.05972456168909,0.04188901835663481,0.04188901835663481,0.040204875585219346,0.9597951244147808,0.9212066808503845
volume_00022,volume,,,,,,-7.54665557127362,-5.700137752894921,-3.4892452312314424,1201.6777156673663,0.2638724289321452,3.6804130739974568,0.0076854939030975775,0.0076854939030975775,0.007626877581941892,0.9923731224180582,0.9848044140977663
volume_00023,volume,,,,,,-7.54665557127362,-5.700137752894921,-2.729507497214216,1431.3525329685622,0.31430596124755106,5.2255123864109425,0.010911993512375486,0.010911993512375486,0.010794207193508681,0.9892057928064912,0.9785281005219189
volume_00024,volume,,,,,,-7.54665557127362,-5.700137752894921,-1.9697697631969895,1696.781489677669,0.3725906265971619,7.584749418237702,0.015838587745009472,0.015838587745009472,0.015591638215051927,0.984408361784948,0.969059822752125
volume_00025,volume,,,,,,-7.54665557127362,-5.700137752894921,-1.210032029179763,1988.1061104640094,0.43656163504008344,11.13741098787791,0.023257309036416814,0.023257309036416814,0.022728700622053517,0.9772712993779465,0.95505919258786
volume_00026,volume,,,,,,-7.54665557127362,-5.700137752894921,-0.4502942951625366,2281.5670552352003,0.5010017517900983,16.192489345452394,0.03381339964790399,0.03381339964790399,0.03270744958366776,0.9672925504163322,0.9356548780909326
