worldline_id,event_index,cycle,event,class,holonomy_mode,support_node_count,x,y,z,pair_h3_separation,local_readout_contraction,transport_distance
stress_pair_left,14,14,continue,transposition,1,8,-0.3025355526643101,0.0,0.0,0.6050711053286206,0.970719803328217,0.027843494990131726
stress_pair_left,15,15,continue,transposition,1,8,-0.273255355992527,0.0,0.0,0.5465107119850537,0.969199351581734,0.029280196671788696
stress_pair_left,16,16,continue,transposition,1,8,-0.24245470757426096,0.0,0.0,0.48490941514852137,0.967614932240752,0.03080064841826519
stress_pair_left,17,17,continue,transposition,1,8,-0.21006963981501298,0.0,0.0,0.42013927963002595,0.9660013416599795,0.03238506775924704
stress_pair_left,18,18,continue,transposition,1,8,-0.17607098147499248,0.0,0.0,0.35214196294998534,0.9644129368313568,0.033998658340020346
stress_pair_left,19,19,continue,transposition,1,8,-0.14048391830634918,0.0,0.0,0.2809678366126982,0.9629266765967401,0.03558706316864389
stress_pair_left,20,20,continue,transposition,1,8,-0.10341059490308926,0.0,0.0,0.2068211898061794,0.9616408143411986,0.03707332340326579
stress_pair_left,21,21,continue,transposition,1,8,-0.06505140924428787,0.0,0.0,0.1301028184885746,0.9606657999109133,0.03835918565880373
stress_pair_left,22,22,continue,transposition,1,8,-0.032525704622143936,0.0,0.0,0.06505140924429044,0.9601685541655105,0.03252570462214563
stress_pair_left,23,23,continue,transposition,1,8,-0.016262852311071968,0.0,0.0,0.03252570462214563,0.9600422721378449,0.016262852311073505
stress_pair_left,24,24,continue,transposition,1,8,-0.008131426155535984,0.0,0.0,0.016262852311059853,0.960010576417357,0.008131426155527232
stress_pair_left,25,25,continue,transposition,1,8,-0.004065713077767992,0.0,0.0,0.008131426155527232,0.9600026446287898,0.004065713077698113
stress_pair_left,26,26,continue,transposition,1,8,-0.002032856538883996,0.0,0.0,0.0040657130777527264,0.9600006611899837,0.0020328565388591786
stress_pair_left,27,27,continue,transposition,1,8,-0.001016428269441998,0.0,0.0,0.0020328565389684068,0.9600001652995452,0.0010164282694546803
stress_pair_left,28,28,continue,transposition,1,8,-0.000508214134720999,0.0,0.0,0.0010164282692362247,0.9600000413250144,0.000508214134532499
